Title,Location,Price,Area
Appartement Vätternkade 85 A,            1060 PK Amsterdam (Middelveldsche Akerpolder)        ,                1750€ par mois            ,70 m²
Appartement Marie Heinekenplein 410,            1072 ML Amsterdam (Oude Pijp)        ,                2450€ par mois            ,137 m²
Appartement Boeroestraat,            1095 VS Amsterdam (Indische Buurt Oost)        ,                1400€ par mois            ,40 m²
Maison de famille B. Merkelbachsingel,            1022 KE Amsterdam (Elzenhagen)        ,                2550€ par mois            ,180 m²
Appartement Watteaustraat,            1077 ZJ Amsterdam (Apollobuurt)        ,                2000€ par mois            ,75 m²
Appartement Weteringschans,            1017 XR Amsterdam (De Weteringschans)        ,                2150€ par mois            ,75 m²
Appartement ms. van Riemsdijkweg,            1033 RD Amsterdam (Noordelijke IJ-oevers West)        ,                2550€ par mois            ,88 m²
Appartement Lange Leidsedwarsstraat,            1017 NN Amsterdam (De Weteringschans)        ,                1800€ par mois            ,75 m²
Appartement Brederodestraat,            1054 VD Amsterdam (Overtoomse Sluis)        ,                2650€ par mois            ,81 m²
Maison de famille Prins Hendrikkade,            1011 TE Amsterdam (Nieuwmarkt/Lastage)        ,                1750€ par mois            ,30 m²
Appartement Westerdok 174,            1013 BH Amsterdam (Haarlemmerbuurt)        ,                2250€ par mois            ,146 m²
Appartement Van Ostadestraat 2 3,            1072 SX Amsterdam (Nieuwe Pijp)        ,                1800€ par mois            ,63 m²
Appartement Gloriantstraat,            1055 CV Amsterdam (Erasmuspark)        ,                1295€ par mois            ,60 m²
Appartement Van Nijenrodeweg 673,            1082 JB Amsterdam (Buitenveldert-West)        ,                1500€ par mois            ,34 m²
Appartement Govert Flinckstraat,            1072 EM Amsterdam (Oude Pijp)        ,                2400€ par mois            ,80 m²
Appartement Spuistraat,            1012 VN Amsterdam (Burgwallen-Nieuwe Zijde)        ,                2550€ par mois            ,80 m²
Appartement Haarlemmerdijk,            1013 JH Amsterdam (Haarlemmerbuurt)        ,                2450€ par mois            ,87 m²
Appartement Sloterkade,            1059 EB Amsterdam (Hoofddorppleinbuurt)        ,                3350€ par mois            ,115 m²
Appartement Kuinderstraat 39 hs,            1079 DJ Amsterdam (Rijnbuurt)        ,                1900€ par mois            ,60 m²
Appartement Bloemgracht,            1016 KL Amsterdam (Jordaan)        ,                2200€ par mois            ,75 m²
Appartement Pieter Oosterhuisstraat,            1087 HT Amsterdam (IJburg Zuid)        ,                1950€ par mois            ,93 m²
Appartement Nachtwachtlaan,            1058 ES Amsterdam (Overtoomse Veld)        ,                2950€ par mois            ,125 m²
Appartement Saxen-Weimarlaan,            1075 CC Amsterdam (Willemspark)        ,                2300€ par mois            ,81 m²
Appartement Oudeschans,            1011 KR Amsterdam (Nieuwmarkt/Lastage)        ,                2000€ par mois            ,120 m²
Appartement Overtoom 503 1,            1054 LH Amsterdam (Overtoomse Sluis)        ,                2000€ par mois            ,70 m²
Appartement Jan Evertsenstraat 4 3,            1056 EC Amsterdam (Geuzenbuurt)        ,                1850€ par mois            ,62 m²
Appartement Orteliusstraat 107 2,            1057 AV Amsterdam (Hoofdweg e.o.)        ,                1650€ par mois            ,53 m²
Appartement Kea Boumanstraat 42 B,            1095 MA Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,                1850€ par mois            ,90 m²
Appartement Lijnbaansgracht 91 E,            1015 GZ Amsterdam (Jordaan)        ,                2250€ par mois            ,84 m²
Appartement Nieuwe Kerkstraat 112 1,            1018 VM Amsterdam (Weesperbuurt/Plantage)        ,                2000€ par mois            ,75 m²
Appartement Anthonie van Dijckstraat 11 hs,            1077 MG Amsterdam (Apollobuurt)        ,                5750€ par mois            ,140 m²
